1453	6.23	267	1.42	0.02	2.41	0.02%	0.00000000	h_value=75 	sigma_calc=10 	seq_limit=4 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6365	6.21	136	1.91	0.05	1.51	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
3898	6.21	136	1.91	0.05	1.51	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1431	6.21	136	1.91	0.05	1.51	0.02%	0.00000000	h_value=75 	sigma_calc=8 	seq_limit=4 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6795	6.21	184	1.53	0.03	2.07	0.02%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4328	6.21	184	1.53	0.03	2.07	0.02%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1861	6.21	184	1.53	0.03	2.07	0.02%	0.00000000	h_value=45 	sigma_calc=8 	seq_limit=4 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6540	6.16	176	1.67	0.03	2.17	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4073	6.16	176	1.67	0.03	2.17	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1606	6.16	176	1.67	0.03	2.17	0.02%	0.00000000	h_value=45 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6852	6.12	217	1.46	0.03	2.16	0.02%	0.00000000	h_value=45 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4385	6.12	217	1.46	0.03	2.16	0.02%	0.00000000	h_value=45 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1918	6.12	217	1.46	0.03	2.16	0.02%	0.00000000	h_value=45 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4778	6.09	272	1.36	0.02	2.60	0.03%	0.00000000	h_value=40 	sigma_calc=10 	seq_limit=5 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2311	6.09	272	1.36	0.02	2.60	0.03%	0.00000000	h_value=40 	sigma_calc=10 	seq_limit=5 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4734	6.07	439	1.20	0.01	4.16	0.04%	0.00000000	h_value=75 	sigma_calc=10 	seq_limit=4 	k2_val=0.7 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
2267	6.07	439	1.20	0.01	4.16	0.04%	0.00000000	h_value=75 	sigma_calc=10 	seq_limit=4 	k2_val=0.7 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6541	6.06	171	1.70	0.04	1.99	0.02%	0.00000000	h_value=50 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4074	6.06	171	1.70	0.04	1.99	0.02%	0.00000000	h_value=50 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
1607	6.06	171	1.70	0.04	1.99	0.02%	0.00000000	h_value=50 	sigma_calc=12 	seq_limit=6 	k2_val=0.5 	sigma_th=0.3	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
6851	5.98	219	1.45	0.03	1.96	0.02%	0.00000000	h_value=40 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.5	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
4384	5.98	219	1.45	0.03	1.96	0.02%	0.00000000	h_value=40 	sigma_calc=10 	seq_limit=5 	k2_val=0.6 	sigma_th=0.4	trade_dur=5 	order_volume=0.01 	k1_val=0.01 	toggle_candles=1 	toggle_doji_marubozu=1 	toggle_sstar=1 	toggle_hman=1
