387	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=4 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
380	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
373	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
366	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
359	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=3 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
352	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=3 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
345	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
338	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
331	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=5 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
324	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=3 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
317	8.32	397	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=1 	momentum_diff=2 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
311	8.31	380	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
276	8.30	380	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=9 	momentum_diff=0 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
268	8.22	392	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=0 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
303	8.19	392	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=7 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
310	8.16	395	1.18	0.02	9.66	0.10%	0.00000000	h1_value=43 	h_momentum=9 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
297	8.16	378	1.19	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=5 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
283	8.15	348	1.20	0.02	9.66	0.10%	0.00000000	h1_value=46 	h_momentum=1 	momentum_diff=1 	momentum_max=2 	n=1	h2_value=50 	trade_dur=5 	h_williamsS=10 	h_williamsL=10 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-15 	williams_thresholdL=-85 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
