7580	23393.99	32	2.09	731.06	14488.98	47.42%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7570	22642.66	37	1.80	611.96	18745.86	52.69%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7438	22500.84	37	2.61	608.13	7438.83	28.36%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13740	22370.07	31	2.26	721.62	16586.50	48.77%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=30 	williams_thresholdS=-2 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7449	22259.13	30	2.94	741.97	8330.98	26.06%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4990	21853.53	30	2.72	728.45	9563.64	36.97%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-2 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13329	21852.41	29	2.99	753.53	8251.85	26.28%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13460	21847.71	28	2.31	780.28	11825.84	47.70%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13319	21725.00	33	2.34	658.33	12813.64	45.39%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1690	21645.67	41	1.80	527.94	15133.39	49.70%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10320	21603.38	33	2.79	654.65	9536.19	31.52%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13248	21494.33	38	2.54	565.64	10625.25	37.05%	0.00000000	MaximumRisk=0.08 	h_williamsS=50 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13310	21477.92	39	1.97	550.72	14038.67	50.65%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
9890	21196.71	39	2.12	543.51	9934.98	36.63%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-6 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
11050	21160.99	17	5.90	1244.76	6698.04	28.60%	0.00000000	MaximumRisk=0.1 	h_williamsS=130 	h_williamsL=90 	williams_thresholdS=-2 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7589	21153.02	26	2.71	813.58	8939.74	28.25%	0.00000000	MaximumRisk=0.09 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13258	21064.91	32	3.46	658.28	6073.37	24.50%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
2380	21011.33	16	12.04	1313.21	4934.42	28.36%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=130 	williams_thresholdS=-2 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13590	20977.00	27	2.44	776.93	17133.75	58.37%	0.00000000	MaximumRisk=0.1 	h_williamsS=30 	h_williamsL=130 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4650	20904.81	27	2.45	774.25	9627.41	30.40%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10509	20903.64	34	2.00	614.81	12876.28	44.62%	0.00000000	MaximumRisk=0.09 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4010	20821.03	41	2.36	507.83	9881.28	40.19%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-6 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
4508	20805.46	31	4.04	671.14	5328.63	23.09%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=50 	williams_thresholdS=-4 	williams_thresholdL=-84	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10460	20728.42	26	2.49	797.25	9971.24	31.14%	0.00000000	MaximumRisk=0.1 	h_williamsS=70 	h_williamsL=70 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
1070	20638.05	43	2.27	479.95	7793.06	34.23%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=50 	williams_thresholdS=-6 	williams_thresholdL=-80	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13448	20610.85	32	2.46	644.09	8096.76	27.62%	0.00000000	MaximumRisk=0.08 	h_williamsS=30 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10310	20547.95	40	2.14	513.70	11946.22	38.63%	0.00000000	MaximumRisk=0.1 	h_williamsS=50 	h_williamsL=30 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
10528	20497.52	26	3.25	788.37	7564.39	24.70%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
7579	20295.51	32	2.16	634.23	11591.18	42.28%	0.00000000	MaximumRisk=0.09 	h_williamsS=50 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-88	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
13468	20283.31	25	3.34	811.33	7564.39	25.17%	0.00000000	MaximumRisk=0.08 	h_williamsS=70 	h_williamsL=90 	williams_thresholdS=-4 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
14000	20151.83	16	7.55	1259.49	5204.41	28.85%	0.00000000	MaximumRisk=0.1 	h_williamsS=150 	h_williamsL=90 	williams_thresholdS=-2 	williams_thresholdL=-96	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
11059	20048.54	17	8.07	1179.33	4898.27	25.82%	0.00000000	MaximumRisk=0.09 	h_williamsS=150 	h_williamsL=90 	williams_thresholdS=-2 	williams_thresholdL=-92	Lots=0.1 	DecreaseFactor=3 	MovingPeriod=12 	MovingShift=6
