34	3.22	381	1.09	0.01	5.74	0.06%	0.00000000	h2_value=20 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
35	3.56	334	1.12	0.01	5.65	0.06%	0.00000000	h2_value=25 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
36	1.51	294	1.05	0.01	5.65	0.06%	0.00000000	h2_value=30 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
37	0.01	261	1.00	0.00	5.63	0.06%	0.00000000	h2_value=35 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
38	0.11	240	1.00	0.00	4.62	0.05%	0.00000000	h2_value=40 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
39	-0.32	228	0.99	-0.00	4.94	0.05%	0.00000000	h2_value=45 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
40	-1.31	216	0.95	-0.01	5.51	0.06%	0.00000000	h2_value=50 	trade_dur=5 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
41	13.62	462	1.28	0.03	5.40	0.05%	0.00000000	h2_value=5 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
42	15.15	420	1.34	0.04	5.53	0.06%	0.00000000	h2_value=10 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
43	11.29	394	1.26	0.03	5.87	0.06%	0.00000000	h2_value=15 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
44	10.37	327	1.29	0.03	5.36	0.05%	0.00000000	h2_value=20 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
45	9.49	288	1.30	0.03	5.34	0.05%	0.00000000	h2_value=25 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
46	8.22	256	1.28	0.03	5.24	0.05%	0.00000000	h2_value=30 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
47	6.50	225	1.24	0.03	5.01	0.05%	0.00000000	h2_value=35 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
48	5.87	206	1.24	0.03	4.65	0.05%	0.00000000	h2_value=40 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
49	5.84	196	1.24	0.03	4.47	0.04%	0.00000000	h2_value=45 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
50	4.63	185	1.20	0.03	4.65	0.05%	0.00000000	h2_value=50 	trade_dur=7 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
51	13.28	449	1.25	0.03	6.92	0.07%	0.00000000	h2_value=5 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
52	13.33	411	1.28	0.03	7.37	0.07%	0.00000000	h2_value=10 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
53	9.91	384	1.21	0.03	7.99	0.08%	0.00000000	h2_value=15 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
54	9.24	320	1.24	0.03	6.16	0.06%	0.00000000	h2_value=20 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
55	9.98	282	1.30	0.04	5.77	0.06%	0.00000000	h2_value=25 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
56	8.14	250	1.26	0.03	5.63	0.06%	0.00000000	h2_value=30 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
57	6.28	221	1.21	0.03	5.96	0.06%	0.00000000	h2_value=35 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
58	6.78	203	1.25	0.03	5.41	0.05%	0.00000000	h2_value=40 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
59	7.14	193	1.28	0.04	4.94	0.05%	0.00000000	h2_value=45 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
60	6.27	182	1.25	0.03	5.02	0.05%	0.00000000	h2_value=50 	trade_dur=9 	h_williamsL=15 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
61	1.14	466	1.03	0.00	6.56	0.07%	0.00000000	h2_value=5 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
62	5.82	405	1.16	0.01	6.19	0.06%	0.00000000	h2_value=10 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
63	3.73	383	1.11	0.01	6.35	0.06%	0.00000000	h2_value=15 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
64	3.59	365	1.11	0.01	5.70	0.06%	0.00000000	h2_value=20 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
65	3.43	349	1.11	0.01	5.61	0.06%	0.00000000	h2_value=25 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
66	2.27	312	1.08	0.01	5.61	0.06%	0.00000000	h2_value=30 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
67	0.77	279	1.03	0.00	5.36	0.05%	0.00000000	h2_value=35 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
68	1.02	257	1.04	0.00	4.57	0.05%	0.00000000	h2_value=40 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
69	0.54	244	1.02	0.00	4.81	0.05%	0.00000000	h2_value=45 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
70	-0.45	232	0.98	-0.00	4.88	0.05%	0.00000000	h2_value=50 	trade_dur=5 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
71	11.05	403	1.26	0.03	4.76	0.05%	0.00000000	h2_value=5 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
72	16.39	353	1.47	0.05	4.78	0.05%	0.00000000	h2_value=10 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
73	13.03	332	1.38	0.04	5.06	0.05%	0.00000000	h2_value=15 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
74	10.93	314	1.33	0.03	5.44	0.05%	0.00000000	h2_value=20 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
75	8.85	301	1.27	0.03	5.42	0.05%	0.00000000	h2_value=25 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
76	8.34	272	1.27	0.03	5.32	0.05%	0.00000000	h2_value=30 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
77	6.62	241	1.23	0.03	5.08	0.05%	0.00000000	h2_value=35 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
78	6.26	221	1.24	0.03	4.72	0.05%	0.00000000	h2_value=40 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
79	6.32	210	1.25	0.03	4.54	0.05%	0.00000000	h2_value=45 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
80	5.11	199	1.21	0.03	4.72	0.05%	0.00000000	h2_value=50 	trade_dur=7 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
81	11.17	388	1.25	0.03	5.78	0.06%	0.00000000	h2_value=5 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
82	16.50	345	1.44	0.05	5.47	0.05%	0.00000000	h2_value=10 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
83	13.15	324	1.36	0.04	5.72	0.06%	0.00000000	h2_value=15 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
84	11.42	306	1.33	0.04	5.33	0.05%	0.00000000	h2_value=20 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
85	9.85	294	1.29	0.03	5.65	0.06%	0.00000000	h2_value=25 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
86	8.97	265	1.28	0.03	5.51	0.05%	0.00000000	h2_value=30 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
87	7.11	236	1.23	0.03	5.84	0.06%	0.00000000	h2_value=35 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
88	7.54	218	1.27	0.03	5.26	0.05%	0.00000000	h2_value=40 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
89	8.04	207	1.31	0.04	4.82	0.05%	0.00000000	h2_value=45 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
90	7.17	196	1.28	0.04	4.90	0.05%	0.00000000	h2_value=50 	trade_dur=9 	h_williamsL=25 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
91	-1.58	394	0.96	-0.00	6.43	0.06%	0.00000000	h2_value=5 	trade_dur=5 	h_williamsL=35 	williams_thresholdL=-85	h1_value=24 	h_williamsS=55 	h_rsi=10 	rsi_shift=1 	williams_thresholdS=-2 	order_volume=0.01 	broker_payout=0.75 	stake=100 	testmode=0
