32	-8.49	218	0.86	-0.04	13.98	0.14%	0.00000000	h1_value=15 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
33	-7.91	212	0.86	-0.04	13.65	0.14%	0.00000000	h1_value=20 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
34	-12.36	202	0.79	-0.06	17.27	0.17%	0.00000000	h1_value=25 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
35	-11.04	184	0.79	-0.06	16.41	0.16%	0.00000000	h1_value=30 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
36	-10.23	171	0.80	-0.06	15.32	0.15%	0.00000000	h1_value=35 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
37	-9.14	157	0.81	-0.06	14.92	0.15%	0.00000000	h1_value=40 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
38	-7.50	149	0.83	-0.05	15.63	0.16%	0.00000000	h1_value=45 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
39	-10.80	139	0.76	-0.08	16.88	0.17%	0.00000000	h1_value=50 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
40	-10.14	129	0.76	-0.08	16.48	0.16%	0.00000000	h1_value=55 	h_williamsS=25 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
41	-6.53	220	0.88	-0.03	12.11	0.12%	0.00000000	h1_value=10 	h_williamsS=30 	williams_thresholdS=-15	h2_value=5 	trade_dur=15 	n=2 	h_williamsL=15 	h_rsi=10 	rsi_shift=1 	williams_thresholdL=-86 	order_volume=0.01 	broker_payout=0.75 	m_min=0 	stake=100 	testmode=1
