1720	-0.49	530	0.99	-0.00	10.02	0.10%	0.00000000	h1_value=46 	h_williamsS=50 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1721	-1.85	524	0.98	-0.00	11.41	0.11%	0.00000000	h1_value=48 	h_williamsS=50 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1722	-1.76	522	0.98	-0.00	11.32	0.11%	0.00000000	h1_value=50 	h_williamsS=50 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1723	4.09	572	1.05	0.01	8.51	0.09%	0.00000000	h1_value=10 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1724	5.12	564	1.07	0.01	8.51	0.09%	0.00000000	h1_value=12 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1725	4.25	558	1.05	0.01	8.95	0.09%	0.00000000	h1_value=14 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1726	3.42	553	1.04	0.01	9.20	0.09%	0.00000000	h1_value=16 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1727	3.91	547	1.05	0.01	8.95	0.09%	0.00000000	h1_value=18 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1728	3.83	542	1.05	0.01	9.10	0.09%	0.00000000	h1_value=20 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1729	4.13	539	1.05	0.01	8.76	0.09%	0.00000000	h1_value=22 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1730	4.21	537	1.06	0.01	8.67	0.09%	0.00000000	h1_value=24 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1731	3.71	536	1.05	0.01	8.67	0.09%	0.00000000	h1_value=26 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1732	2.77	535	1.04	0.01	8.68	0.09%	0.00000000	h1_value=28 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1733	1.31	530	1.02	0.00	9.37	0.09%	0.00000000	h1_value=30 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1734	1.31	530	1.02	0.00	9.37	0.09%	0.00000000	h1_value=32 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1735	1.50	527	1.02	0.00	8.95	0.09%	0.00000000	h1_value=34 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1736	1.95	524	1.03	0.00	9.19	0.09%	0.00000000	h1_value=36 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1737	1.67	521	1.02	0.00	9.60	0.10%	0.00000000	h1_value=38 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1738	2.00	518	1.03	0.00	9.52	0.10%	0.00000000	h1_value=40 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1739	2.32	517	1.03	0.00	9.14	0.09%	0.00000000	h1_value=42 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1740	1.57	513	1.02	0.00	9.89	0.10%	0.00000000	h1_value=44 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1741	1.84	511	1.03	0.00	9.89	0.10%	0.00000000	h1_value=46 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1742	0.57	505	1.01	0.00	10.85	0.11%	0.00000000	h1_value=48 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1743	0.69	503	1.01	0.00	10.83	0.11%	0.00000000	h1_value=50 	h_williamsS=55 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1744	4.01	567	1.05	0.01	8.81	0.09%	0.00000000	h1_value=10 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1745	5.05	559	1.06	0.01	8.61	0.09%	0.00000000	h1_value=12 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1746	4.42	552	1.06	0.01	8.92	0.09%	0.00000000	h1_value=14 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1747	3.54	548	1.05	0.01	9.85	0.10%	0.00000000	h1_value=16 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1748	3.99	542	1.05	0.01	9.36	0.09%	0.00000000	h1_value=18 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1749	4.02	537	1.05	0.01	9.37	0.09%	0.00000000	h1_value=20 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1750	4.27	533	1.06	0.01	9.18	0.09%	0.00000000	h1_value=22 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1751	4.39	531	1.06	0.01	9.22	0.09%	0.00000000	h1_value=24 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1752	3.71	530	1.05	0.01	9.25	0.09%	0.00000000	h1_value=26 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1753	2.99	529	1.04	0.01	9.48	0.09%	0.00000000	h1_value=28 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1754	1.60	524	1.02	0.00	10.55	0.11%	0.00000000	h1_value=30 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1755	1.59	524	1.02	0.00	10.58	0.11%	0.00000000	h1_value=32 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1756	1.77	520	1.02	0.00	10.00	0.10%	0.00000000	h1_value=34 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
1757	1.86	516	1.03	0.00	10.63	0.11%	0.00000000	h1_value=36 	h_williamsS=60 	williams_thresholdS=-9	h2_value=50 	trade_dur=5 	h_williamsL=10 	williams_thresholdL=-85 	order_volume=0.01 	corr_threshold=0.66 	open_order_open=1
