trade;call wrate;put wrate;;;net
353;0.69;0.58;690;580;2540
354;0.69;0.58;690;580;2620
355;0.69;0.58;690;580;2520
356;0.68;0.58;680;580;2600
357;0.69;0.58;690;580;2500
358;0.68;0.58;680;580;2580
359;0.68;0.59;680;590;2660
360;0.68;0.59;680;590;2740
361;0.68;0.59;680;590;2820
362;0.68;0.59;680;590;2720
363;0.68;0.58;680;580;2620
364;0.68;0.58;680;580;2700
365;0.69;0.58;690;580;2600
366;0.68;0.58;680;580;2500
367;0.67;0.58;670;580;2400
368;0.67;0.57;670;570;2480
369;0.66;0.57;660;570;2560
370;0.66;0.57;660;570;2460
371;0.66;0.57;660;570;2540
372;0.66;0.57;660;570;2440
373;0.65;0.57;650;570;2520
374;0.65;0.56;650;560;2600
375;0.65;0.57;650;570;2680
376;0.66;0.57;660;570;2580
377;0.65;0.57;650;570;2480
378;0.64;0.57;640;570;2380
379;0.64;0.57;640;570;2460
380;0.64;0.58;640;580;2540
381;0.64;0.58;640;580;2620
382;0.64;0.58;640;580;2520
383;0.64;0.58;640;580;2600
384;0.65;0.58;650;580;2680
385;0.65;0.58;650;580;2580
386;0.65;0.58;650;580;2660
387;0.65;0.58;650;580;2740
388;0.65;0.58;650;580;2820
389;0.65;0.58;650;580;2900
390;0.65;0.58;650;580;2980
391;0.65;0.59;650;590;3060
392;0.65;0.59;650;590;2960
393;0.64;0.59;640;590;2860
394;0.63;0.59;630;590;2940
395;0.63;0.59;630;590;3020
396;0.63;0.59;630;590;2920
397;0.63;0.6;630;600;2820
398;0.63;0.59;630;590;2900
399;0.63;0.59;630;590;2800
400;0.63;0.6;630;600;2880
401;0.63;0.61;630;610;2960
402;0.63;0.61;630;610;3040
403;0.63;0.61;630;610;2940
404;0.62;0.61;620;610;3020
405;0.62;0.62;620;620;2920
406;0.62;0.61;620;610;3000
407;0.62;0.61;620;610;2900
408;0.62;0.61;620;610;2980
409;0.63;0.61;630;610;3060
410;0.63;0.61;630;610;3140
411;0.64;0.61;640;610;3040
412;0.64;0.61;640;610;2940
413;0.64;0.62;640;620;3020
414;0.64;0.62;640;620;2920
415;0.64;0.62;640;620;3000
416;0.64;0.62;640;620;2900
417;0.64;0.62;640;620;2980
418;0.64;0.63;640;630;2880
419;0.64;0.63;640;630;2780
420;0.63;0.63;630;630;2680
421;0.63;0.63;630;630;2760
422;0.64;0.63;640;630;2840
423;0.64;0.63;640;630;2920
424;0.64;0.64;640;640;2820
425;0.64;0.63;640;630;2900
426;0.64;0.63;640;630;2980
427;0.64;0.63;640;630;3060
428;0.65;0.63;650;630;2960
429;0.65;0.64;650;640;3040
430;0.65;0.64;650;640;2940
431;0.65;0.63;650;630;3020
432;0.65;0.63;650;630;3100
433;0.65;0.63;650;630;3000
434;0.65;0.62;650;620;2900
435;0.65;0.61;650;610;2980
436;0.64;0.61;640;610;3060
437;0.65;0.61;650;610;3140
438;0.65;0.62;650;620;3220
439;0.65;0.62;650;620;3300
440;0.65;0.62;650;620;3200
441;0.65;0.62;650;620;3280
442;0.65;0.62;650;620;3180
443;0.65;0.62;650;620;3260
444;0.65;0.63;650;630;3160
445;0.65;0.63;650;630;3060
446;0.64;0.63;640;630;2960
447;0.64;0.62;640;620;3040
448;0.63;0.62;630;620;3120
449;0.63;0.62;630;620;3200
450;0.63;0.62;630;620;3280
451;0.63;0.62;630;620;3360
452;0.63;0.63;630;630;3440
453;0.63;0.63;630;630;3520
454;0.63;0.63;630;630;3600
455;0.63;0.63;630;630;3500
456;0.64;0.63;640;630;3580
457;0.64;0.63;640;630;3480
458;0.64;0.62;640;620;3560
459;0.64;0.62;640;620;3640
460;0.64;0.63;640;630;3720
461;0.64;0.63;640;630;3800
462;0.64;0.64;640;640;3700
463;0.63;0.64;630;640;3780
464;0.63;0.63;630;630;3860
465;0.63;0.64;630;640;3940
466;0.63;0.65;630;650;4020
467;0.63;0.65;630;650;4100
468;0.63;0.66;630;660;4000
469;0.63;0.66;630;660;4080
470;0.63;0.66;630;660;4160
471;0.63;0.66;630;660;4060
472;0.63;0.65;630;650;3960
473;0.63;0.65;630;650;4040
474;0.63;0.66;630;660;4120
475;0.63;0.66;630;660;4200
476;0.63;0.66;630;660;4200
477;0.63;0.66;630;660;4100
478;0.62;0.66;620;660;4180
479;0.62;0.67;620;670;4260
480;0.63;0.67;630;670;4340
481;0.63;0.67;630;670;4420
482;0.63;0.67;630;670;4320
483;0.63;0.67;630;670;4400
484;0.63;0.67;630;670;4300
485;0.62;0.67;620;670;4380
486;0.63;0.67;630;670;4460
487;0.64;0.67;640;670;4540
488;0.64;0.67;640;670;4440
489;0.64;0.67;640;670;4520
490;0.64;0.67;640;670;4420
491;0.64;0.67;640;670;4500
492;0.64;0.67;640;670;4580
493;0.64;0.67;640;670;4480
494;0.63;0.67;630;670;4560
495;0.63;0.67;630;670;4460
496;0.63;0.67;630;670;4360
497;0.63;0.66;630;660;4440
498;0.62;0.66;620;660;4520
499;0.63;0.66;630;660;4420
500;0.63;0.66;630;660;4320
501;0.63;0.66;630;660;4220
502;0.63;0.66;630;660;4300
503;0.63;0.66;630;660;4380
504;0.62;0.66;620;660;4460
505;0.62;0.66;620;660;4540
506;0.62;0.67;620;670;4620
507;0.62;0.67;620;670;4520
508;0.62;0.67;620;670;4600
509;0.61;0.67;610;670;4500
510;0.61;0.68;610;680;4580
511;0.61;0.68;610;680;4480
512;0.61;0.68;610;680;4480
513;0.6;0.68;600;680;4380
