,0
1290,2158
1291,2128
1292,2111
1293,2109
1294,2100
1295,2094
1296,2059
1297,2086
1298,2121
1299,2081
1300,2029
1301,1987
1302,1992
1303,2008
1304,1971
1305,1960
1306,1960
1307,1952
1308,1950
1309,1949
1310,1994
1311,1992
1312,1990
1313,1976
1314,1980
1315,1980
1316,1959
1317,1977
1318,1977
1319,1949
1320,1985
1321,2021
1322,1995
1323,1994
1324,1998
1325,1985
1326,1984
1327,1972
1328,1987
1329,1957
1330,1979
1331,1943
1332,1964
1333,1958
1334,1964
1335,1970
1336,1983
1337,1990
1338,1961
1339,1956
1340,1947
1341,1966
1342,1980
1343,1952
1344,2000
1345,1996
1346,1991
1347,2013
1348,1995
1349,2005
1350,1989
1351,2021
1352,2006
1353,2022
1354,2025
1355,2054
1356,2077
1357,2078
1358,2061
1359,2070
1360,2070
1361,2076
1362,2047
1363,2007
1364,2039
1365,2053
1366,2048
1367,2052
1368,2073
1369,2080
1370,2074
1371,2020
1372,1990
1373,2019
1374,1990
1375,1984
1376,1982
1377,1980
1378,1987
1379,1984
1380,1987
1381,1939
1382,1904
1383,1873
1384,1877
1385,1880
1386,1907
1387,1904
1388,1923
1389,1940
1390,1941
1391,1960
1392,1977
1393,1950
1394,1979
1395,1995
1396,2027
1397,2020
1398,2019
1399,2055
1400,2098
1401,2104
1402,2087
1403,2109
1404,2105
1405,2100
1406,2088
1407,2095
1408,2138
1409,2109
1410,2118
1411,2125
1412,2120
1413,2082
1414,2090
1415,2121
1416,2079
1417,2146
1418,2213
1419,2174
1420,2224
1421,2274
1422,2228
1423,2321
1424,2274
1425,2211
1426,2233
1427,2248
1428,2202
1429,2204
1430,2213
1431,2194
1432,2093
1433,2158
1434,2174
1435,2188
1436,2154
1437,2164
1438,2087
1439,2124
1440,2142
1441,2172
1442,2240
1443,2239
1444,2255
1445,2251
1446,2216
1447,2159
1448,2170
1449,2125
1450,2082
1451,2115
1452,2152
1453,2148
1454,2157
1455,2192
1456,2180
1457,2136
1458,2137
1459,2142
1460,2137
1461,2144
1462,2168
1463,2218
1464,2239
1465,2278
1466,2255
1467,2281
1468,2250
1469,2266
1470,2298
1471,2302
1472,2305
1473,2336
1474,2341
1475,2424
1476,2457
1477,2471
1478,2510
1479,2458
1480,2488
1481,2473
1482,2477
1483,2490
1484,2465
1485,2471
1486,2465
1487,2489
1488,2619
1489,2622
1490,2641
1491,2650
1492,2653
1493,2695
1494,2753
1495,2755
1496,2746
1497,2743
1498,2673
1499,2678
1500,2608
1501,2581
1502,2529
1503,2552
1504,2578
1505,2594
1506,2586
1507,2566
1508,2648
1509,2681
1510,2681
1511,2697
1512,2693
1513,2713
1514,2704
1515,2706
1516,2714
1517,2744
1518,2716
1519,2721
1520,2722
1521,2732
1522,2733
1523,2747
1524,2759
1525,2772
1526,2783
1527,2788
1528,2796
1529,2787
1530,2781
1531,2785
1532,2785
1533,2805
1534,2804
1535,2786
1536,2758
1537,2762
1538,2783
1539,2802
1540,2819
1541,2796
1542,2827
1543,2845
1544,2873
1545,2900
1546,2909
1547,2852
1548,2845
1549,2904
1550,2882
1551,2927
1552,2979
1553,3028
1554,3056
1555,3006
1556,2945
1557,2894
1558,2880
1559,2881
1560,2878
1561,2885
1562,2884
1563,2815
1564,2823
1565,2831
1566,2829
1567,2829
1568,2842
1569,2860
1570,2790
1571,2843
1572,2829
1573,2823
1574,2766
1575,2808
1576,2850
1577,2805
1578,2804
1579,2842
1580,2835
1581,2795
1582,2746
1583,2743
1584,2694
1585,2674
1586,2716
1587,2728
1588,2724
1589,2741
1590,2698
1591,2651
1592,2661
1593,2673
1594,2678
1595,2695
1596,2638
1597,2679
1598,2642
1599,2655
1600,2649
1601,2612
1602,2648
1603,2607
1604,2618
1605,2663
1606,2708
1607,2735
1608,2747
1609,2759
1610,2746
1611,2717
1612,2706
1613,2684
1614,2665
1615,2709
1616,2693
1617,2673
1618,2658
1619,2609
1620,2639
1621,2666
1622,2694
1623,2715
1624,2677
1625,2642
1626,2652
1627,2652
1628,2704
1629,2742
1630,2766
1631,2720
1632,2662
1633,2680
1634,2638
1635,2662
1636,2714
1637,2724
1638,2722
1639,2762
1640,2768
1641,2758
1642,2725
1643,2681
1644,2660
1645,2647
1646,2667
1647,2713
1648,2702
1649,2713
1650,2707
1651,2715
1652,2706
1653,2705
1654,2659
1655,2662
1656,2671
1657,2683
1658,2683
1659,2717
1660,2721
1661,2718
1662,2712
1663,2730
1664,2769
1665,2768
1666,2753
1667,2729
1668,2744
1669,2749
1670,2772
1671,2750
1672,2782
1673,2777
1674,2740
1675,2733
1676,2734
1677,2735
1678,2733
1679,2731
1680,2762
1681,2796
1682,2808
1683,2797
1684,2838
1685,2874
1686,2887
1687,2885
1688,2888
1689,2851
1690,2835
1691,2829
1692,2844
1693,2853
1694,2855
1695,2880
1696,2907
1697,2916
1698,2943
1699,2943
1700,2920
1701,2921
1702,2944
1703,2948
1704,2940
1705,2944
1706,2908
1707,2911
1708,2938
1709,2903
1710,2898
1711,2898
1712,2932
1713,2912
1714,2909
1715,2907
1716,2913
1717,2907
1718,2934
1719,2979
1720,3012
1721,2982
1722,3016
1723,2986
1724,3038
1725,3028
1726,3032
1727,3024
1728,3078
1729,3076
1730,3069
1731,3069
1732,3060
1733,3056
1734,3103
1735,3132
1736,3159
1737,3199
1738,3233
1739,3199
1740,3192
1741,3195
1742,3203
1743,3225
1744,3262
1745,3272
1746,3281
1747,3314
1748,3339
1749,3350
1750,3368
1751,3382
1752,3344
1753,3283
1754,3289
1755,3293
1756,3315
1757,3264
1758,3264
1759,3267
1760,3246
1761,3236
1762,3221
1763,3234
1764,3245
1765,3222
1766,3227
1767,3261
1768,3267
1769,3252
1770,3249
1771,3265
1772,3246
1773,3241
1774,3228
1775,3218
1776,3221
1777,3247
1778,3244
1779,3236
1780,3230
1781,3228
1782,3227
1783,3261
1784,3287
1785,3287
1786,3303
1787,3310
1788,3286
1789,3294
1790,3270
1791,3257
1792,3258
1793,3261
1794,3236
1795,3234
1796,3259
1797,3288
1798,3298
1799,3289
1800,3290
1801,3296
1802,3293
1803,3339
1804,3385
1805,3405
1806,3425
1807,3476
1808,3475
1809,3474
1810,3483
1811,3519
1812,3730
1813,3747
1814,3740
1815,3750
1816,3762
1817,3839
1818,3860
1819,3856
1820,3899
1821,3903
1822,3833
1823,3880
1824,3866
1825,3862
1826,3886
1827,3901
1828,3923
1829,3916
1830,3915
1831,3937
1832,3916
1833,3926
1834,3927
1835,3927
1836,3945
1837,3915
1838,3933
1839,3931
1840,3935
1841,3948
1842,3935
1843,3899
1844,3932
1845,3946
1846,3953
1847,3980
1848,3939
1849,3944
1850,3903
1851,3920
1852,3944
1853,3956
1854,3968
1855,3967
1856,3969
1857,3978
1858,3930
1859,3934
1860,3897
1861,3898
1862,3888
1863,3922
1864,3872
1865,3850
1866,3871
1867,3886
1868,3905
1869,3888
1870,3910
1871,3913
1872,3891
1873,3820
1874,3857
1875,3848
1876,3789
1877,3786
1878,3741
1879,3743
1880,3746
1881,3744
1882,3784
1883,3797
1884,3790
1885,3794
1886,3810
1887,3767
1888,3779
1889,3750
1890,3779
1891,3782
1892,3744
1893,3771
1894,3778
1895,3782
1896,3779
1897,3800
1898,3805
1899,3808
1900,3809
1901,3809
1902,3816
1903,3764
1904,3773
1905,3756
1906,3740
1907,3724
1908,3717
1909,3721
1910,3761
1911,3800
1912,3810
1913,3777
1914,3804
1915,3833
1916,3838
1917,3850
1918,3838
1919,3817
1920,3825
1921,3852
1922,3850
1923,3860
1924,3859
1925,3811
1926,3836
1927,3797
1928,3820
1929,3818
1930,3841
1931,3817
1932,3824
1933,3803
1934,3832
1935,3835
1936,3845
1937,3812
1938,3807
1939,3832
1940,3841
1941,3841
1942,3850
1943,3829
1944,3832
1945,3837
1946,3843
1947,3858
1948,3863
1949,3837
1950,3814
