,0
554,6847.0
555,6891.5
556,6835.0
557,6786.5
558,6831.0
559,6879.5
560,6944.0
561,6919.5
562,6869.0
563,6947.5
564,7012.0
565,7055.5
566,7095.0
567,7098.5
568,7058.0
569,7100.5
570,7117.0
571,7061.5
572,7024.0
573,7017.5
574,7030.0
575,7134.5
576,7176.0
577,7230.5
578,7282.0
579,7234.5
580,7270.0
581,7307.5
582,7345.0
583,7386.5
584,7340.0
585,7336.5
586,7349.0
587,7331.5
588,7383.0
589,7343.5
590,7415.0
591,7513.5
592,7600.0
593,7501.5
594,7473.0
595,7469.5
596,7411.0
597,7444.5
598,7464.0
599,7507.5
600,7473.0
601,7480.5
602,7431.0
603,7475.5
604,7440.0
605,7469.5
606,7435.0
607,7464.5
608,7429.0
609,7395.5
610,7364.0
611,7395.5
612,7423.0
613,7477.5
614,7443.0
615,7469.5
616,7479.0
617,7531.5
618,7532.0
619,7565.5
620,7642.0
621,7711.5
622,7642.0
623,7700.5
624,7589.0
625,7661.5
626,7793.0
627,7805.5
628,7748.0
629,7819.5
630,7884.0
631,7801.5
632,7867.0
633,7915.5
634,7971.0
635,8007.5
636,8056.0
637,8085.5
638,8139.0
639,8156.5
640,8144.0
641,8197.5
642,8213.0
643,8267.5
644,8329.0
645,8278.5
646,8316.0
647,8243.5
648,8194.0
649,8140.5
650,8086.0
651,8117.5
652,8121.0
653,8109.5
654,8161.0
655,8178.5
656,8163.0
657,8217.5
658,8285.0
659,8230.5
660,8194.0
661,8232.5
662,8226.0
663,8160.5
664,8091.0
665,8085.5
666,8189.0
667,8222.5
668,8211.0
669,8198.5
670,8188.0
671,8191.5
672,8192.0
673,8179.5
674,8136.0
675,8098.5
676,8005.0
677,8049.5
678,7995.0
679,8046.5
680,8091.0
681,8102.5
682,8101.0
683,8046.5
684,8082.0
685,8014.5
686,7967.0
687,8054.5
688,8144.0
689,8181.5
690,8167.0
691,8242.5
692,8216.0
693,8276.5
694,8338.0
695,8382.5
696,8429.0
697,8355.5
698,8443.0
699,8620.5
700,8731.0
701,8597.5
702,8707.0
703,8840.5
704,8937.0
705,8926.5
706,8846.0
707,8861.5
708,8847.0
709,8787.5
710,8723.0
711,8657.5
712,8713.0
713,8638.5
714,8666.0
715,8580.5
716,8655.0
717,8656.5
718,8647.0
719,8571.5
720,8662.0
721,8588.5
722,8661.0
723,8649.5
724,8692.0
725,8648.5
726,8599.0
727,8626.5
728,8624.0
729,8627.5
730,8777.0
731,8865.5
732,8947.0
733,8962.5
734,8878.0
735,8794.5
736,8820.0
737,8889.5
738,8952.0
739,8857.5
740,8844.0
741,8896.5
742,8945.0
743,8981.5
744,9045.0
745,9100.5
746,9125.0
747,9152.5
748,9174.0
749,9209.5
750,9231.0
751,9240.5
752,9207.0
753,9255.5
754,9253.0
755,9184.5
756,9212.0
757,9113.5
758,9080.0
759,9001.5
760,9021.0
761,9005.5
762,9092.0
763,8999.5
764,9020.0
765,9086.5
766,9075.0
767,9068.5
768,9032.0
769,8998.5
770,9064.0
771,9030.5
772,9035.0
773,8996.5
774,9033.0
775,9064.5
776,9098.0
777,9135.5
778,9177.0
779,9218.5
780,9256.0
781,9218.5
782,9256.0
783,9264.5
784,9306.0
785,9359.5
786,9324.0
787,9238.5
788,9171.0
789,9218.5
790,9224.0
791,9247.5
792,9281.0
793,9310.5
794,9348.0
795,9298.5
796,9331.0
797,9349.5
798,9364.0
799,9351.5
800,9383.0
801,9347.5
802,9322.0
803,9343.5
804,9374.0
805,9440.5
806,9408.0
807,9443.5
808,9480.0
809,9512.5
810,9524.0
811,9563.5
812,9523.0
813,9545.5
814,9588.0
815,9633.5
816,9678.0
817,9675.5
818,9712.0
819,9683.5
820,9711.0
821,9683.5
822,9718.0
823,9745.5
824,9764.0
825,9807.5
826,9774.0
827,9816.5
828,9856.0
829,9901.5
830,9861.0
831,9819.5
832,9873.0
833,9875.5
834,9895.0
835,9806.5
836,9767.0
837,9771.5
838,9787.0
839,9779.5
840,9725.0
841,9739.5
842,9784.0
843,9745.5
844,9703.0
845,9774.5
846,9778.0
847,9863.5
848,9906.0
849,9932.5
850,9973.0
851,9927.5
852,9969.0
853,9910.5
854,9973.0
855,9984.5
856,9917.0
857,9969.5
858,9916.0
859,9923.5
860,9937.0
861,9975.5
862,10019.0
863,10061.5
864,10100.0
865,10061.5
866,10011.0
867,9964.5
868,10034.0
