,0
1225,4112.5
1226,4150.0
1227,4143.5
1228,4109.0
1229,4056.5
1230,4010.0
1231,4006.5
1232,4010.0
1233,4000.5
1234,4069.0
1235,4051.5
1236,4070.0
1237,4073.5
1238,4087.0
1239,4004.5
1240,4013.0
1241,4026.5
1242,4130.0
1243,4134.5
1244,4037.0
1245,3997.5
1246,4030.0
1247,4039.5
1248,4056.0
1249,4086.5
1250,4072.0
1251,4057.5
1252,4072.0
1253,4084.5
1254,4101.0
1255,4103.5
1256,4042.0
1257,4070.5
1258,4104.0
1259,4123.5
1260,4167.0
1261,4198.5
1262,4184.0
1263,4181.5
1264,4151.0
1265,4118.5
1266,4068.0
1267,4030.5
1268,4063.0
1269,4028.5
1270,4037.0
1271,4058.5
1272,4090.0
1273,4117.5
1274,4143.0
1275,4177.5
1276,4180.0
1277,4174.5
1278,4137.0
1279,4148.5
1280,4153.0
1281,4119.5
1282,4123.0
1283,4115.5
1284,4051.0
1285,4083.5
1286,4121.0
1287,4118.5
1288,4128.0
1289,4180.5
1290,4180.0
1291,4156.5
1292,4170.0
1293,4169.5
1294,4167.0
1295,4208.5
1296,4276.0
1297,4210.5
1298,4144.0
1299,4148.5
1300,4074.0
1301,4068.5
1302,4079.0
1303,4140.5
1304,4172.0
1305,4047.5
1306,4095.0
1307,4124.5
1308,4103.0
1309,4102.5
1310,4079.0
1311,3969.5
1312,3974.0
1313,3989.5
1314,4060.0
1315,4124.5
1316,4162.0
1317,4161.5
1318,4273.0
1319,4319.5
1320,4344.0
1321,4332.5
1322,4354.0
1323,4377.5
1324,4383.0
1325,4381.5
1326,4385.0
1327,4467.5
1328,4468.0
1329,4461.5
1330,4516.0
1331,4536.5
1332,4549.0
1333,4596.5
1334,4605.0
1335,4596.5
1336,4614.0
1337,4595.5
1338,4583.0
1339,4622.5
1340,4670.0
1341,4685.5
1342,4627.0
1343,4683.5
1344,4614.0
1345,4685.5
1346,4639.0
1347,4628.5
1348,4638.0
1349,4667.5
1350,4705.0
1351,4632.5
1352,4647.0
1353,4691.5
1354,4700.0
1355,4746.5
1356,4773.0
1357,4817.5
1358,4804.0
1359,4835.5
1360,4839.0
1361,4819.5
1362,4879.0
1363,4842.5
1364,4897.0
1365,4870.5
1366,4899.0
1367,4947.5
1368,4978.0
1369,4988.5
1370,4934.0
1371,4924.5
1372,4933.0
1373,4927.5
1374,4909.0
1375,4951.5
1376,4931.0
1377,4908.5
1378,4923.0
1379,4858.5
1380,4790.0
1381,4821.5
1382,4896.0
1383,4842.5
1384,4879.0
1385,4908.5
1386,4929.0
1387,4918.5
1388,4903.0
1389,4913.5
1390,4917.0
1391,4888.5
1392,4903.0
1393,4907.5
1394,4893.0
1395,4904.5
1396,4909.0
1397,4899.5
1398,4903.0
1399,4909.5
1400,4897.0
1401,4894.5
1402,4904.0
1403,4899.5
1404,4933.0
1405,4927.5
1406,5021.0
1407,4969.5
1408,4921.0
1409,4942.5
1410,4954.0
