,a_trade-return-bool,b_trade-return,c_rate-return-std-1,d_rate-return-std-2,e_rate-return-std-3,f_rate-return-return-1,g_rate-return-return-2,h_rate-return-return-3,i_volume-return-1,j_volume-return-2,k_volume-return-3,l_volume-return-std-1,m_volume-return-std-2,o_volume-return-std-3
29,1,15,0.00038918170086864193,0.0006625536587091508,0.00036753205636499715,0.0003321822499687305,0.2926973589979831,4.938871332860771,-0.19616761109454198,-0.25251109553842566,-0.5610261312938176,1.6648863108024543,0.6017276961210642,0.9137125025181171
30,0,1,0.00034030418281625783,0.0005984801775073678,0.00036845796337629165,0.0004384500217957312,2.85309405249974,5.536352650809553,0.24465240641711233,2.010045443673763,-0.47957179336083294,0.3061481069045366,0.7419922801536011,0.8077848671839479
31,0,-12,0.000585066894121867,0.0007126806477790445,0.0004016985001918622,0.0011654638589257047,0.5687166126484602,0.5331473651148221,0.17367892847492958,0.6389209384099777,-0.5863065032399096,1.2343852427187962,0.8642904577995572,5.167548461653768
32,0,2,0.0005837385750345875,0.0009847536149337388,0.0005176392440349453,0.0018499670578261205,1.230611179145555,-2.339635073478095,0.8026812662314874,1.8870684243565599,-0.5727638625553004,1.1574340859206125,1.1050635133839728,5.105599822548361
33,1,10,0.0007326657648192402,0.0017840675798921873,0.0009489876589413139,0.0005306381602157499,0.10660793031429328,2.6824422301708735,0.5191139692747412,0.13898590538246,-0.07554252071044767,0.2456659718981399,0.30025642041748807,0.22262697366372336
34,0,-29,0.0005604750919333229,0.0011713130573928698,0.0005892639056361751,0.00070548832715135,0.5263771870226347,-1.2158745651570144,-0.061542118630284574,0.1821621706844088,1.62453085122354,0.164845451037562,0.2750029667664669,0.6975943026225194
35,1,3,0.0008175321472703963,0.0014758653167707494,0.0002842566157701729,0.0006416708295518391,0.5276943672234384,1.0249997635185848,0.21650203370133636,3.6855825500975357,-0.06229615133724723,0.28463615456786034,1.401923410265731,0.9288262111607315
36,1,6,0.0007171193048444194,0.0002762609139170363,0.00026296242864322226,5.579340378103365e-05,0.09453409321735844,0.4309651044018552,-0.40035055796285735,0.9747600426590829,0.501236543497236,0.41483260859513743,0.9447944554849004,1.0568401125728917
37,1,24,0.0010225677974514975,0.0019923986953106873,0.00036861766665948414,0.0024362473994047683,0.6622550417930703,2.5577174676969894,-0.04740285405225499,-0.12606162290114045,-0.6737448486728409,0.26122151530204635,0.375118705554635,0.4567540922124467
38,0,-2,0.0016208861331718108,0.0015726712714237638,0.0012157203183325144,0.0014703800442090196,0.5821319410346305,1.6983485350534713,0.3430489752822373,0.0884677308063847,0.15175589846563503,0.1813798244450806,0.1706993529292353,0.2445626936268483
39,1,5,0.0007625704851459247,0.0009187503135358008,0.0007082090067208138,0.0025527961194120093,0.7893785910542782,2.495055102434954,-0.07203319923347294,1.9806514646614437,-0.5295149035651665,0.27600391435172134,0.8309702285669458,0.984531033006378
40,1,21,0.0008036926778656831,0.0009957919637793521,0.0005052793060488771,0.00336834210869659,1.3001466135775457,-2.9698781970096766,0.24933264887063647,-0.20383686952102634,1.32433576299083,0.18329877253808144,0.794149035780024,1.0867026950543837
41,0,2,0.0012250864454551927,0.0008923379826331789,0.0005537385357891969,0.00023315512432888375,-0.6223472892798873,1.2603267033899792,0.12706648270392146,0.8620467365028202,0.0508710801393723,0.4125884754104327,0.5412188395894462,1.0221206765681712
42,0,-23,0.003696476158240206,0.0013079019268731817,0.0023155501095264435,0.002627200064805299,0.5286280909086744,0.5954007249373634,-0.14881160209333205,-0.2680827420770181,-0.015338626413814333,0.22173856698432215,0.3918685864739711,0.46782269075662763
43,1,71,0.0011832373949401571,0.001231396598430241,0.0018387864209165005,0.0024801306015464894,0.43321303630014574,0.8362610078291831,0.06275004454942212,0.016452260321545654,-0.3221923864545616,0.15822187515363917,0.517426893927016,0.3880450723650175
44,0,-14,0.000565960046858958,0.0006582870738578023,0.0005748785984171813,0.0003887582737035667,0.2857403995073833,0.2324465569560966,0.15741360290793321,0.7313901578073092,-0.17431528808280675,0.28079820833591657,0.4432703127488283,0.2726856566738208
45,0,-3,0.0004608636695801489,0.0012181834154808143,0.0003771442344324441,0.000987610127119924,0.6853143295300682,1.5155243906163984,-0.15061123893587933,-0.15137430004025917,-0.36088019559902196,0.1671251784611456,0.4310837692361849,0.666930751907611
46,1,21,0.0006461403261478543,0.0008381198146900233,0.0006342749261809804,0.0012469170585060925,0.28084086343823367,0.9580694742026836,-0.008213825630542902,-0.148181488712487,0.12589761408385478,0.27852526470174616,1.0376303043752655,7.582000869128888
47,1,7,0.0009836982739439728,0.0009954900326315868,0.0007457748410770253,0.0017308395505600941,-4.319071496254608,-0.38164294176341734,0.4613437041635478,0.9786449233158611,2.4299162685084443,0.28881784091766344,1.0537263228440161,7.4633369650228865
48,1,11,0.0009594833724190098,0.001162265731017129,0.0008314809348529855,0.002240505519124183,0.5568376398900858,6.532781130430055,-0.17746867763196963,-0.2687206738651137,2.564332954773197,0.29474870495150346,1.053491732909627,1.060135153860323
49,0,-29,0.0010816301337232867,0.002083196973761587,0.001025400598104484,0.0001827642546660791,0.13611641245433911,0.517234673583146,-0.18437808792660879,0.012227273375041519,0.365233036326251,0.27343286328428434,0.49629820824872317,1.1453664986265724
50,1,13,0.001104237899465067,0.0010567013314097624,0.0009049319786494062,0.0009368522194261306,-1.2686638457629298,0.6597009349625763,-0.34990610748457485,-0.06683239105088333,-0.28788661530513726,0.23223086288921296,0.16682962490381806,0.21483042325915397
51,1,8,0.0005307742575122946,0.000887070338965014,0.0002915145245585592,0.0004005654072818854,0.36469449962233524,0.32934043951740266,-0.2107606367340083,0.004428376774647363,0.14800335101926818,0.29648892335495813,0.3590324035838378,0.5182956618094064
52,1,12,0.000560831180777219,0.0005920599274314465,0.0009375005681436992,0.0005282136645920789,-0.17875608638168988,-0.19372882932926727,0.6554923911142213,0.17712283271006046,0.4198962578732866,0.3642211722178174,0.3813490883947519,1.953502806089172
53,1,6,0.000649139881800664,0.0005438410051272229,0.00044158996332189176,0.0009365345424417962,0.3853257011639969,0.22593423402327595,-0.18797031101522998,-0.17942978322337413,-0.2904085997611177,0.27885823336286614,0.48705318543216025,0.4107359723224956
54,1,6,0.00044454017304869614,0.0007409450721450687,0.0003609136548260328,0.0006286651384169226,-0.6388978922822939,-1.6282732163257887,-0.1523687081190586,-0.14634617507451161,-0.33430730478589427,0.322843602150204,0.411584495905996,0.44157834934755263
55,1,8,0.0005188274154871482,0.0007273005211540935,0.000605745942471129,0.0019498897730238004,1.6929109790544075,4.386045502319225,0.2525112176218642,0.008056826849733108,0.6218966042001824,0.24662271238737798,0.40655766415399414,0.642803226926308
56,0,-7,0.0006294071441710106,0.0008976249954426481,0.0005436392122170321,7.769598632309841e-05,0.02296267033795731,0.11486309715480705,0.176502679006332,0.37360067354766285,-0.08402769627977931,0.20885465838282527,0.3994857494354008,0.6032049570639485
57,0,-15,0.0006388231272078181,0.001000332729736183,0.00032404543567228554,0.0001338378502865361,-0.09832016911789954,-2.0903373277479935,0.17216738702366682,-0.32718533604887995,0.5016474976686359,0.20181959415066794,0.4018390572156158,0.5221060025243963
58,1,7,0.0009305870625187793,0.0019297997713400097,0.0005560297857700989,0.0017533856287459395,0.814779359119621,0.5715401991632436,0.01715986835816422,0.01286190018014435,0.3432742440041711,0.16611352283774755,0.24052803728904842,0.5914361823472621
59,1,16,0.0011240509889549725,0.0020634885923339996,0.0009099398083481226,0.002404138248008232,0.6528165422521264,2.0858924415069993,-0.14675814255795477,-0.11687792927141022,0.35889635061056824,0.28622950842743605,0.5529968078802338,0.42593400930277187
60,1,13,0.0004460239034319649,0.001270198289275706,0.0005257530201845958,0.0009214191885410861,0.5535211340306924,3.3911927321718536,0.6239721648104924,0.7590141681513531,0.5159959589156423,0.3301380014015328,0.3858312458120035,0.46632655244449955
61,1,3,0.0007817808904619597,0.0018073222360704719,0.0004737523689404605,0.0002888543980397876,-0.07271368406541384,-0.3508500783571842,-0.045604638903531655,0.12107881352786133,1.01009785402849,0.20305686854665736,0.540963385725154,0.4641858509034284
62,0,0,0.0006205045293818501,0.0017415521304207677,0.0006044939920865283,0.0007960609101361335,5.425774390340546,-1.9535449547268173,-0.07637870292944382,-0.2939647014058951,-0.28910870283089674,0.18919758530551634,0.5534616948648434,0.42699611999579906
63,0,-5,0.0005201393712027813,0.0005901157927731354,0.00093203626383187,0.0015242406051593793,0.34692441294747856,0.6913895333195064,0.25735406333460503,-0.26550347773564187,0.24078024992380362,0.14472969273143116,0.29960616112323035,0.6090660041729576
