24	-83.20	3562	0.82	-0.02	86.28	0.86%	0.00000000	h1_value=260 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
25	-82.27	3475	0.82	-0.02	85.35	0.85%	0.00000000	h1_value=270 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
26	-77.17	3381	0.83	-0.02	80.25	0.80%	0.00000000	h1_value=280 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
27	-73.40	3302	0.83	-0.02	76.48	0.76%	0.00000000	h1_value=290 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
28	-68.51	3231	0.84	-0.02	71.59	0.72%	0.00000000	h1_value=300 	trade_dur=1	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
29	67.44	4250	1.09	0.02	24.27	0.24%	0.00000000	h1_value=30 	trade_dur=6	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
30	45.10	3551	1.07	0.01	27.21	0.27%	0.00000000	h1_value=40 	trade_dur=6	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
31	39.00	3064	1.07	0.01	29.63	0.30%	0.00000000	h1_value=50 	trade_dur=6	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
32	35.07	2703	1.06	0.01	31.74	0.32%	0.00000000	h1_value=60 	trade_dur=6	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
33	40.74	2450	1.08	0.02	24.82	0.25%	0.00000000	h1_value=70 	trade_dur=6	h2_value=5 	h_williamsS=35 	h_williamsL=15 	williams_thresholdS=-6 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	open_threshold=1 	stake=100 	testmode=0
