83	35.55	334	1.59	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.2 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
58	34.90	336	1.57	0.10	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.2 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
63	34.74	321	1.65	0.11	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.4 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
46	34.29	322	1.74	0.11	6.42	0.06%	0.00000000	wrate_lookback=20 	k_delta_calc=0.8 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
21	34.29	322	1.74	0.11	6.42	0.06%	0.00000000	wrate_lookback=20 	k_delta_calc=0.8 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
32	34.24	345	1.65	0.10	6.86	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.2 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
35	33.46	398	1.57	0.08	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.2 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
23	33.15	343	1.56	0.10	12.66	0.13%	0.00000000	wrate_lookback=60 	k_delta_calc=0.8 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
12	32.31	346	1.62	0.09	7.21	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.4 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
7	32.05	345	1.60	0.09	6.86	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.2 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
