25	-219.25	9376	0.89	-0.02	231.40	2.31%	0.00000000	h1_value=20 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
26	-132.71	8412	0.92	-0.02	145.10	1.45%	0.00000000	h1_value=25 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
27	-106.15	6476	0.92	-0.02	119.50	1.19%	0.00000000	h1_value=30 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
28	-125.81	6019	0.90	-0.02	144.22	1.44%	0.00000000	h1_value=35 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
29	-50.24	4937	0.95	-0.01	60.12	0.60%	0.00000000	h1_value=40 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
30	-85.73	4679	0.91	-0.02	95.80	0.96%	0.00000000	h1_value=45 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
31	-32.80	3947	0.96	-0.01	54.68	0.55%	0.00000000	h1_value=50 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
32	-22.39	3771	0.97	-0.01	48.71	0.49%	0.00000000	h1_value=55 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
33	-26.27	3245	0.96	-0.01	44.13	0.44%	0.00000000	h1_value=60 	trade_dur=15 	n_lookback=4 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
34	-305.97	16838	0.86	-0.02	319.52	3.19%	0.00000000	h1_value=10 	trade_dur=5 	n_lookback=6 	ma_multiplier=1.1	h2_value=5 	ATR_period=32 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
