27	4.70	818	1.07	0.01	5.82	0.06%	0.00000000	h1_value=135 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
28	4.52	814	1.06	0.01	5.72	0.06%	0.00000000	h1_value=140 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
29	3.99	808	1.06	0.00	5.60	0.06%	0.00000000	h1_value=145 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
30	3.94	807	1.05	0.00	4.92	0.05%	0.00000000	h1_value=150 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
31	2.86	803	1.04	0.00	4.95	0.05%	0.00000000	h1_value=155 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
32	4.43	804	1.06	0.01	4.94	0.05%	0.00000000	h1_value=160 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
33	4.45	800	1.06	0.01	4.58	0.05%	0.00000000	h1_value=165 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
34	2.00	800	1.03	0.00	6.11	0.06%	0.00000000	h1_value=170 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
35	1.43	800	1.02	0.00	5.73	0.06%	0.00000000	h1_value=175 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
36	-0.39	797	0.99	-0.00	7.16	0.07%	0.00000000	h1_value=180 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
37	-1.23	800	0.98	-0.00	7.26	0.07%	0.00000000	h1_value=185 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
38	-0.58	798	0.99	-0.00	6.37	0.06%	0.00000000	h1_value=190 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
39	-1.16	796	0.98	-0.00	6.43	0.06%	0.00000000	h1_value=195 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
40	-2.07	789	0.97	-0.00	7.18	0.07%	0.00000000	h1_value=200 	trade_dur=5 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
41	-0.61	1177	1.00	-0.00	12.74	0.13%	0.00000000	h1_value=5 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
42	-1.77	1176	0.99	-0.00	13.34	0.13%	0.00000000	h1_value=10 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
43	6.14	1022	1.05	0.01	10.46	0.10%	0.00000000	h1_value=15 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
44	-6.71	913	0.94	-0.01	14.23	0.14%	0.00000000	h1_value=20 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
45	-7.85	836	0.93	-0.01	14.59	0.15%	0.00000000	h1_value=25 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
46	-6.91	790	0.94	-0.01	12.99	0.13%	0.00000000	h1_value=30 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
47	2.23	765	1.02	0.00	9.62	0.10%	0.00000000	h1_value=35 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
48	-0.33	726	1.00	-0.00	9.62	0.10%	0.00000000	h1_value=40 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
49	-0.10	719	1.00	-0.00	9.74	0.10%	0.00000000	h1_value=45 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
50	2.90	709	1.03	0.00	9.62	0.10%	0.00000000	h1_value=50 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
51	6.07	707	1.07	0.01	9.62	0.10%	0.00000000	h1_value=55 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
52	4.36	688	1.05	0.01	9.62	0.10%	0.00000000	h1_value=60 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
53	-1.36	682	0.98	-0.00	11.30	0.11%	0.00000000	h1_value=65 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
54	-2.66	676	0.97	-0.00	10.34	0.10%	0.00000000	h1_value=70 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
55	-2.09	663	0.98	-0.00	10.83	0.11%	0.00000000	h1_value=75 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
56	-1.90	653	0.98	-0.00	11.97	0.12%	0.00000000	h1_value=80 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
57	-1.25	646	0.99	-0.00	11.41	0.11%	0.00000000	h1_value=85 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
58	-0.22	652	1.00	-0.00	10.44	0.10%	0.00000000	h1_value=90 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
59	0.77	640	1.01	0.00	9.62	0.10%	0.00000000	h1_value=95 	trade_dur=10 	h_williamsS=10 	williams_thresholdS=-8	h2_value=5 	h_williamsL=15 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	stoch_k=3 	stoch_delay=3 	stoch_d=1 	order_volume=0.01 	stoch_testval=0.01 	broker_payout=0.75 	m_min=0 	ma_threshold=-0.5 	stake=100 	testmode=0
