23	45.14	705	1.30	0.06	10.96	0.11%	0.00000000	k1_value=10 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
24	46.24	655	1.31	0.07	13.75	0.14%	0.00000000	k1_value=15 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
25	48.31	650	1.34	0.07	8.41	0.08%	0.00000000	k1_value=20 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
26	39.72	684	1.25	0.06	14.01	0.14%	0.00000000	k1_value=25 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
27	42.14	712	1.25	0.06	13.18	0.13%	0.00000000	k1_value=30 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
28	48.96	746	1.28	0.07	12.51	0.13%	0.00000000	k1_value=35 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
29	47.06	767	1.26	0.06	12.55	0.13%	0.00000000	k1_value=40 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
30	49.03	781	1.27	0.06	13.24	0.13%	0.00000000	k1_value=45 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
31	48.27	776	1.26	0.06	16.46	0.16%	0.00000000	k1_value=50 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
32	49.90	761	1.27	0.07	15.94	0.16%	0.00000000	k1_value=55 	k1_ma=25	h1_value=30 	h1_ma=5 	trade_dur=15 	h2_value=5 	ATR_period=32 	n_lookback=5 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
