24	43.36	540	1.37	0.08	25.22	0.25%	0.00000000	h1_value=15 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
25	44.89	533	1.40	0.08	21.75	0.22%	0.00000000	h1_value=20 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
26	47.67	550	1.42	0.09	21.86	0.22%	0.00000000	h1_value=25 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
27	45.21	554	1.38	0.08	21.84	0.22%	0.00000000	h1_value=30 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
28	32.51	592	1.25	0.05	22.86	0.23%	0.00000000	h1_value=35 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
29	32.69	605	1.24	0.05	24.38	0.24%	0.00000000	h1_value=40 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
30	42.97	614	1.32	0.07	23.45	0.23%	0.00000000	h1_value=45 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
31	30.21	612	1.21	0.05	23.45	0.23%	0.00000000	h1_value=50 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
32	25.03	600	1.17	0.04	25.16	0.25%	0.00000000	h1_value=55 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
33	23.48	579	1.17	0.04	24.56	0.25%	0.00000000	h1_value=60 	h1_ma=25	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
34	37.49	550	1.30	0.07	23.37	0.23%	0.00000000	h1_value=10 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
35	18.60	474	1.17	0.04	25.53	0.26%	0.00000000	h1_value=15 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
36	17.21	462	1.16	0.04	24.15	0.24%	0.00000000	h1_value=20 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
37	21.52	464	1.21	0.05	20.89	0.21%	0.00000000	h1_value=25 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
38	19.04	451	1.18	0.04	22.17	0.22%	0.00000000	h1_value=30 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
39	9.13	465	1.08	0.02	22.73	0.23%	0.00000000	h1_value=35 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
40	4.43	470	1.04	0.01	25.46	0.25%	0.00000000	h1_value=40 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
41	17.00	494	1.14	0.03	21.85	0.22%	0.00000000	h1_value=45 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
42	22.23	508	1.19	0.04	21.85	0.22%	0.00000000	h1_value=50 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
43	21.44	524	1.17	0.04	22.51	0.23%	0.00000000	h1_value=55 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
44	12.60	531	1.10	0.02	21.91	0.22%	0.00000000	h1_value=60 	h1_ma=35	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
45	38.71	564	1.30	0.07	21.72	0.22%	0.00000000	h1_value=10 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
46	16.09	469	1.14	0.03	26.18	0.26%	0.00000000	h1_value=15 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
47	16.37	445	1.15	0.04	23.06	0.23%	0.00000000	h1_value=20 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
48	16.79	446	1.16	0.04	23.66	0.24%	0.00000000	h1_value=25 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
49	17.46	427	1.17	0.04	21.68	0.22%	0.00000000	h1_value=30 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
50	6.75	420	1.06	0.02	22.01	0.22%	0.00000000	h1_value=35 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
51	0.06	418	1.00	0.00	24.65	0.25%	0.00000000	h1_value=40 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
52	8.05	432	1.07	0.02	23.45	0.23%	0.00000000	h1_value=45 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
53	8.78	441	1.08	0.02	22.27	0.22%	0.00000000	h1_value=50 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
54	6.89	454	1.06	0.02	25.13	0.25%	0.00000000	h1_value=55 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
55	1.18	461	1.01	0.00	23.38	0.23%	0.00000000	h1_value=60 	h1_ma=45	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
56	38.52	566	1.29	0.07	21.72	0.22%	0.00000000	h1_value=10 	h1_ma=55	h2_value=5 	trade_dur=15 	ATR_period=32 	n_lookback=8 	h_williamsS=55 	h_williamsL=15 	williams_thresholdS=-2 	williams_thresholdL=-86 	ma_period1=7 	ma_period2=14 	ma_shift=14 	order_volume=0.01 	thres=0.01 	ATR_max=0.0003 	broker_payout=0.75 	m_min=0 	ma_threshold=1 	open_threshold=1 	stake=100 	testmode=0
